fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,density,pH,sulphates,alcohol,bound_sulfur_dioxide,quality_class
6.6,0.28,0.28,8.5,0.052,55,0.9962,3.09,0.55,8.9,156,1
6.8,0.28,0.4,22,0.048,48,1.001,2.93,0.5,8.7,119,0
6.8,0.28,0.36,8,0.045,28,0.9928,3.02,0.37,11.4,95,1
6.6,0.15,0.34,5.1,0.055,34,0.9942,3.36,0.42,9.6,91,0
6.8,0.26,0.24,7.8,0.052,54,0.9961,3.13,0.47,8.9,160,0
7.1,0.32,0.24,13.1,0.05,52,0.998,3.1,0.49,8.8,152,0
6.8,0.26,0.24,7.8,0.052,54,0.9961,3.13,0.47,8.9,160,0
6.8,0.27,0.26,16.1,0.049,55,0.9984,3.15,0.5,9.3,141,0
7.1,0.32,0.24,13.1,0.05,52,0.998,3.1,0.49,8.8,152,0
6.8,0.26,0.34,13.9,0.034,39,0.9949,3.33,0.53,12,95,1
5.8,0.28,0.35,2.3,0.053,36,0.9924,3.28,0.5,10.2,78,0
6.4,0.21,0.5,11.6,0.042,45,0.9972,3.15,0.43,8.8,108,0
7,0.16,0.32,8.3,0.045,38,0.9958,3.21,0.34,9.2,88,0
5.6,0.245,0.25,9.7,0.032,12,0.994,3.31,0.34,10.5,56,0
6.8,0.18,0.38,1.4,0.038,35,0.9918,3.32,0.59,11.2,76,2
7,0.16,0.32,8.3,0.045,38,0.9958,3.21,0.34,9.2,88,0
6.7,0.13,0.29,5.3,0.051,31,0.9944,3.44,0.37,9.7,91,1
6.2,0.25,0.25,1.4,0.03,35,0.9912,3.3,0.44,11.1,70,2
5.8,0.26,0.24,9.2,0.044,55,0.9961,3.31,0.38,9.4,97,0
7.5,0.27,0.36,7,0.036,45,0.9939,3.03,0.33,11,119,0
5.8,0.26,0.24,9.2,0.044,55,0.9961,3.31,0.38,9.4,97,0
5.7,0.28,0.24,17.5,0.044,60,0.9989,3.31,0.44,9.4,107,0
7.5,0.23,0.36,7,0.036,43,0.9938,3.04,0.32,11,118,0
7.5,0.27,0.36,7,0.036,45,0.9939,3.03,0.33,11,119,0
6.2,0.25,0.25,1.4,0.03,35,0.9912,3.3,0.44,11.1,70,2
6.5,0.19,0.3,0.8,0.043,33,0.9936,3.42,0.39,9.1,111,1
7.1,0.24,0.41,17.8,0.046,39,0.9998,3.32,0.39,8.7,106,0
6.4,0.17,0.32,2.4,0.048,41,0.9938,3.5,0.5,9.7,159,1
6.4,0.17,0.32,2.4,0.048,41,0.9938,3.5,0.5,9.7,159,1
7.1,0.24,0.41,17.8,0.046,39,0.9998,3.32,0.39,8.7,106,0
8.3,0.28,0.4,7.8,0.041,38,0.9976,3.34,0.51,9.6,156,1
8.2,0.27,0.39,7.8,0.039,49,0.9976,3.31,0.51,9.5,159,1
7.2,0.23,0.38,14.3,0.058,55,0.9979,3.09,0.44,9,139,1
7.2,0.23,0.38,14.3,0.058,55,0.9979,3.09,0.44,9,139,1
7.2,0.23,0.38,14.3,0.058,55,0.9979,3.09,0.44,9,139,1
7.2,0.23,0.38,14.3,0.058,55,0.9979,3.09,0.44,9,139,1
6.2,0.25,0.21,15.55,0.039,28,0.9982,3.48,0.64,9.6,131,1
7.3,0.32,0.23,13.7,0.05,49,0.9985,3.2,0.46,8.7,148,0
7.7,0.31,0.26,7.8,0.031,23,0.9944,3.13,0.5,10.4,67,0
7.1,0.21,0.37,2.4,0.026,23,0.9903,3.15,0.38,11.4,77,2
6.8,0.24,0.34,2.7,0.047,64.5,0.9934,3.3,0.58,9.7,154,1
6.9,0.4,0.56,11.2,0.043,40,0.9975,3.14,0.46,8.7,102,0
6.8,0.21,0.27,2.1,0.03,26,0.99,3.16,0.61,12.6,113,2
5.8,0.2,0.27,1.4,0.031,12,0.9905,3.25,0.36,10.9,65,2
5.6,0.19,0.26,1.4,0.03,12,0.9905,3.25,0.37,10.9,64,2
6.1,0.41,0.14,10.4,0.037,18,0.996,3.38,0.45,10,101,0
6.9,0.4,0.56,11.2,0.043,40,0.9975,3.14,0.46,8.7,102,0
5.8,0.24,0.44,3.5,0.029,5,0.9913,3.53,0.43,11.7,104,0
5.8,0.24,0.39,1.5,0.054,37,0.9932,3.21,0.52,9.3,121,1
6.7,0.26,0.39,1.1,0.04,45,0.9935,3.32,0.58,9.6,102,2
6.3,0.35,0.3,5.7,0.035,8,0.9927,3.27,0.41,11,89,2
6.3,0.35,0.3,5.7,0.035,8,0.9927,3.27,0.41,11,89,2
6.4,0.23,0.39,1.8,0.032,23,0.9912,3.32,0.5,11.8,95,1
5.8,0.36,0.38,0.9,0.037,3,0.9904,3.28,0.34,11.4,72,0
6.9,0.115,0.35,5.4,0.048,36,0.9939,3.32,0.42,10.2,72,1
6.9,0.29,0.4,19.45,0.043,36,0.9996,2.93,0.47,8.9,120,0
6.9,0.28,0.4,8.2,0.036,15,0.9944,3.17,0.33,10.2,80,0
7.2,0.29,0.4,13.6,0.045,66,0.9977,3.08,0.59,9.6,165,1
6.2,0.24,0.35,1.2,0.038,22,0.9912,3.1,0.48,10.6,145,1
6.9,0.29,0.4,19.45,0.043,36,0.9996,2.93,0.47,8.9,120,0
6.9,0.32,0.26,8.3,0.053,32,0.9965,3.25,0.51,9.2,148,1
6.9,0.32,0.26,8.3,0.053,32,0.9965,3.25,0.51,9.2,148,1
5.8,0.25,0.26,13.1,0.051,44,0.9972,3.29,0.38,9.3,104,0
7,0.29,0.54,10.7,0.046,59,0.9966,3.05,0.61,9.5,175,0
6.6,0.19,0.41,8.9,0.046,51,0.9954,3.14,0.57,9.8,118,1
6.7,0.2,0.41,9.1,0.044,50,0.9954,3.14,0.58,9.8,116,1
7.7,0.26,0.4,1.1,0.042,9,0.9915,2.89,0.5,10.6,51,0
6.8,0.32,0.34,1.2,0.044,14,0.9919,3.05,0.47,10.6,53,0
7,0.3,0.49,4.7,0.036,17,0.9916,3.26,0.68,12.4,88,2
7,0.24,0.36,2.8,0.034,22,0.99,3.19,0.38,12.6,90,2
6.8,0.44,0.37,5.1,0.047,46,0.9938,3.08,0.65,10.5,155,0
6.7,0.34,0.3,15.6,0.054,51,0.9982,3.19,0.49,9.3,145,0
7.1,0.35,0.24,15.4,0.055,46,0.9988,3.12,0.49,8.8,152,0
7.3,0.32,0.25,7.2,0.056,47,0.9961,3.08,0.47,8.8,133,0
6.5,0.28,0.33,15.7,0.053,51,0.9978,3.22,0.51,9.7,139,1
7.2,0.23,0.39,14.2,0.058,49,0.9979,2.98,0.48,9,143,2
7.2,0.23,0.39,14.2,0.058,49,0.9979,2.98,0.48,9,143,2
7.2,0.23,0.39,14.2,0.058,49,0.9979,2.98,0.48,9,143,2
7.2,0.23,0.39,14.2,0.058,49,0.9979,2.98,0.48,9,143,2
5.9,0.15,0.31,5.8,0.041,53,0.9945,3.52,0.46,10.5,102,1
7.4,0.28,0.42,19.8,0.066,53,1,2.96,0.44,9.1,142,0
6.2,0.28,0.22,7.3,0.041,26,0.9957,3.44,0.64,9.8,131,2
6.3,0.33,0.27,1.2,0.046,34,0.9934,3.37,0.54,9.4,141,1
7.5,0.17,0.44,11.3,0.046,65,0.997,3.17,0.45,10,81,1
6.7,0.17,0.5,2.1,0.043,27,0.9923,3.15,0.45,10.3,95,1
8.3,0.2,0.35,0.9,0.05,12,0.992,3.13,0.38,10.5,62,1
6,0.29,0.21,1.3,0.055,42,0.9914,3.32,0.43,11.1,126,1
7.3,0.41,0.24,6.8,0.057,41,0.9949,3.2,0.41,9.9,122,1
7.3,0.41,0.24,6.8,0.057,41,0.9949,3.2,0.41,9.9,122,1
7.2,0.43,0.24,6.7,0.058,40,0.995,3.2,0.41,9.9,123,0
7.3,0.4,0.24,6.7,0.058,41,0.995,3.2,0.41,9.9,125,1
6.2,0.33,0.27,4.9,0.036,30,0.9927,3.2,0.42,10.4,104,2
6.2,0.31,0.26,4.8,0.037,36,0.9928,3.21,0.41,10.4,112,1
6.1,0.36,0.27,2.1,0.035,16,0.9917,3.4,0.71,11.5,84,2
7.8,0.25,0.41,3.7,0.042,37,0.9954,3.36,0.45,10,112,1
5.7,0.36,0.21,6.7,0.038,51,0.9941,3.29,0.63,10,115,1
5.8,0.34,0.21,6.6,0.04,50,0.9941,3.29,0.62,10,117,0
6.8,0.25,0.34,4.7,0.031,34,0.9927,3.21,0.38,10.6,100,1
6.6,0.24,0.35,7.7,0.031,36,0.9938,3.19,0.37,10.5,99,0
5.9,0.3,0.47,7.85,0.03,19,0.9933,3.52,0.43,11.5,114,2
6.1,0.125,0.25,3.3,0.04,10,0.9934,3.54,0.59,10.1,59,1
6.6,0.24,0.35,7.7,0.031,36,0.9938,3.19,0.37,10.5,99,0
6.8,0.25,0.34,4.7,0.031,34,0.9927,3.21,0.38,10.6,100,1
6.8,0.28,0.44,9.3,0.031,35,0.9946,3.16,0.36,10.4,102,1
7.9,0.26,0.41,15.15,0.04,38,0.9976,2.96,0.6,10,178,1
6.4,0.34,0.23,6.3,0.039,37,0.9944,3.19,0.65,10,106,1
6.5,0.28,0.35,15.4,0.042,55,0.9978,3.23,0.5,9.6,140,1
7.2,0.21,0.41,1.3,0.036,33,0.992,3.17,0.51,10.4,52,0
6.4,0.32,0.35,4.8,0.03,34,0.9912,3.36,0.6,12.5,67,2
6.8,0.24,0.34,4.6,0.032,37,0.9927,3.2,0.39,10.6,98,0
6.3,0.23,0.3,1.8,0.033,16,0.9906,3.28,0.4,11.8,75,1
6.5,0.28,0.34,9.9,0.038,30,0.9954,3.11,0.44,9.8,103,0
5.6,0.26,0.26,5.7,0.031,12,0.9923,3.25,0.38,10.8,68,0
6.3,0.23,0.3,1.8,0.033,16,0.9906,3.28,0.4,11.8,75,1
6.3,0.23,0.33,1.5,0.036,15,0.991,3.32,0.42,11.2,90,1
5.8,0.27,0.27,12.3,0.045,55,0.9972,3.28,0.42,9.3,115,1
5.9,0.26,0.4,1.3,0.047,12,0.9945,3.45,0.53,10.4,127,0
7.4,0.2,0.43,7.8,0.045,27,0.9964,3.19,0.55,9,126,2
8,0.24,0.36,1.5,0.047,17,0.9948,3.2,0.54,10,112,1
6.4,0.26,0.42,9.7,0.044,30,0.9962,3.18,0.47,9.1,110,1
5.4,0.31,0.47,3,0.053,46,0.9931,3.29,0.76,10,98,0
5.4,0.29,0.47,3,0.052,47,0.993,3.29,0.75,10,98,1
7.1,0.145,0.33,4.6,0.05,33,0.9942,3.28,0.4,9.6,98,1
5.6,0.34,0.1,1.3,0.031,20,0.9906,3.36,0.51,11.2,48,2
6.7,0.19,0.41,15.6,0.056,75,0.9995,3.2,0.44,8.8,80,1
7.8,0.18,0.46,13.6,0.052,38,0.998,3.15,0.5,10,80,1
7.6,0.17,0.45,11.2,0.054,56,0.997,3.15,0.47,10,81,0
6.3,0.12,0.36,2.1,0.044,47,0.9914,3.27,0.74,11.4,99,2
7.3,0.33,0.4,6.85,0.038,32,0.992,3.03,0.3,11.9,106,2
5.5,0.335,0.3,2.5,0.071,27,0.9924,3.14,0.51,9.6,101,1
7.3,0.33,0.4,6.85,0.038,32,0.992,3.03,0.3,11.9,106,2
7.3,0.22,0.37,14.3,0.063,48,0.9978,2.89,0.38,9,143,1
7.3,0.22,0.37,14.3,0.063,48,0.9978,2.89,0.38,9,143,1
6.9,0.24,0.34,4.7,0.04,43,0.9935,3.2,0.59,10.6,118,1
6.4,0.24,0.32,14.9,0.047,54,0.9968,3.28,0.5,10.2,108,1
7.1,0.365,0.14,1.2,0.055,24,0.9941,3.15,0.43,8.9,60,0
6.8,0.15,0.3,5.3,0.05,40,0.9942,3.4,0.39,9.7,87,1
7.3,0.22,0.37,14.3,0.063,48,0.9978,2.89,0.38,9,143,1
6.8,0.16,0.4,2.3,0.037,18,0.9923,3.49,0.42,11.4,84,2
6,0.26,0.32,3.5,0.028,29,0.9912,3.4,0.71,12.3,84,2
6.9,0.33,0.21,1,0.053,39,0.9927,3.12,0.45,9.4,109,1
7.7,0.29,0.48,2.3,0.049,36,0.9931,3.17,0.64,10.6,142,1
7.1,0.39,0.35,12.5,0.044,26,0.9941,3.17,0.29,11.6,46,0
6.9,0.33,0.21,1,0.053,39,0.9927,3.12,0.45,9.4,109,1
7.7,0.29,0.48,2.3,0.049,36,0.9931,3.17,0.64,10.6,142,1
7.2,0.27,0.27,2.4,0.048,30,0.9936,3.1,0.51,9.2,119,1
5.1,0.33,0.22,1.6,0.027,18,0.9893,3.51,0.38,12.5,71,2
5.1,0.33,0.22,1.6,0.027,18,0.9893,3.51,0.38,12.5,71,2
6.4,0.31,0.28,1.5,0.037,12,0.9919,3.32,0.51,10.4,107,2
7.3,0.2,0.44,1.4,0.045,21,0.9924,3.15,0.46,10,77,2
5.7,0.32,0.5,2.6,0.049,17,0.9927,3.22,0.64,10,138,1
6.4,0.31,0.28,1.5,0.037,12,0.9919,3.32,0.51,10.4,107,2
7.3,0.2,0.44,1.4,0.045,21,0.9924,3.15,0.46,10,77,2
7.2,0.28,0.26,12.5,0.046,48,0.9975,3.1,0.52,9,131,1
7.5,0.35,0.28,9.6,0.051,26,0.9969,3.12,0.53,9.2,131,1
7.2,0.27,0.27,2.4,0.048,30,0.9936,3.1,0.51,9.2,119,1
6,0.36,0.39,3.2,0.027,20,0.991,3.38,0.39,11.3,105,2
5.1,0.33,0.22,1.6,0.027,18,0.9893,3.51,0.38,12.5,71,2
5,0.17,0.56,1.5,0.026,24,0.9906,3.48,0.39,10.8,91,2
6.7,0.21,0.32,5.4,0.047,29,0.995,3.39,0.46,9.7,111,1
7,0.3,0.38,14.9,0.032,60,0.9983,3.18,0.61,9.3,121,2
7,0.3,0.38,14.9,0.032,60,0.9983,3.18,0.61,9.3,121,2
6.5,0.36,0.32,1.1,0.031,13,0.9916,3.1,0.46,10.6,53,0
7.3,0.24,0.43,2,0.021,20,0.99,3.08,0.56,12.2,49,1
6.8,0.37,0.51,11.8,0.044,62,0.9976,3.19,0.44,8.8,101,0
8.2,0.28,0.42,1.8,0.031,30,0.9917,3.09,0.39,11.4,63,0
6.3,0.2,0.4,1.5,0.037,35,0.9917,3.46,0.5,11.4,72,1
5.9,0.26,0.27,18.2,0.048,52,0.9993,3.35,0.44,9.4,116,0
6.4,0.19,0.42,2.9,0.032,32,0.9908,3.3,0.41,11.7,51,1
6.3,0.2,0.4,1.5,0.037,35,0.9917,3.46,0.5,11.4,72,1
6.8,0.37,0.51,11.8,0.044,62,0.9976,3.19,0.44,8.8,101,0
6.8,0.22,0.31,6.3,0.035,33,0.9918,3.24,0.66,12.6,137,1
5.8,0.28,0.34,4,0.031,40,0.9896,3.39,0.39,12.8,59,2
6.3,0.14,0.39,1.2,0.044,26,0.992,3.26,0.53,10.3,90,1
8.2,0.28,0.42,1.8,0.031,30,0.9917,3.09,0.39,11.4,63,0
7.2,0.25,0.39,18.95,0.038,42,0.9999,2.97,0.47,9,113,1
7.2,0.19,0.39,1.2,0.036,32,0.9918,3.16,0.5,10.5,53,0
7.2,0.19,0.39,1.2,0.036,32,0.9918,3.16,0.5,10.5,53,0
